"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB format version","Source Path","Source File","Source File Index","entry id backup","ran protassign","prepared","prepared with version","Potential Energy-OPLS3e","RMS Derivative-OPLS3e","Max Derivative-OPLS3e","Stretch Energy-OPLS3e","Bend Energy-OPLS3e","LJ-14 Energy-OPLS3e","El-14 Energy-OPLS3e","Van der Waals Energy-OPLS3e","Electrostatic Energy-OPLS3e","Dihedral Energy-OPLS3e","target temperature","ran impref","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","Line_Number","IC50","chiral flag","version","ct enhanced stereo status","mmshare version","input","cmdline","tautomer probability","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","flags","Force Field","Energy","Chiralities Consistent","Variant","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","XP GScore","glide gscore","glide evdw","glide ecoul","glide energy","glide einternal","glide emodel","XP HBond","glide confnum","glide posenum","glide eff state penalty","XP PoseRank","Chemistry Notes","EZ 1"
,"0 - minimized","55375","0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","3.0","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",1,"2",true,true,"2020-3",-22703.404,0.041,1.639,14.265,851.508,988.508,-717.318,-2174.795,-21712.654,47.083,298.000,true,88139,23.056,-8.648,-12.084,25.000,25.000,25.000,10.000,10.000,10.000,"glide",true,,,,,,,"","",,,,,,,,,,"",,,"","",,,,,,,,,,,,,,,,,,,"",""
,"49844555.0","55376","11_49844555.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",2,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,11,69000,false,0,2,51139,"W0NIM11bQ0gyXU9jMVtjSF1bY0hdYyhbY0hdYzFPW0NIMl1bQ0gzXSlbQ0gyXVtDSDJdYzJbY0hdW2NIXWMoW09IXSljKFtPSF0pYzJbT0hd","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0035,0.0000,0.0035,0.0000,0.000,0,0,0,"OPLS3e",25.412,true,"49844555.0-1","glide-grid_0",11,10,-11.433,-0.497,-1.414,-2.765,-11.433,-11.433,-30.353,-12.537,-42.890,6.161,-53.485,-1.025,1,2,0.000,1,"",""
,"49844555.0","55377","11_49844555.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",3,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,11,69000,false,0,2,51139,"W0NIM11bQ0gyXU9jMVtjSF1bY0hdYyhbY0hdYzFPW0NIMl1bQ0gzXSlbQ0gyXVtDSDJdYzJbY0hdW2NIXWMoW09IXSljKFtPSF0pYzJbT0hd","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0035,0.0000,0.0035,0.0000,0.000,0,0,0,"OPLS3e",25.412,true,"49844555.0-1","glide-grid_0",11,10,-11.286,-0.491,-1.395,-2.729,-11.286,-11.286,-30.396,-12.565,-42.961,4.435,-52.684,-1.025,1,18,0.000,2,"",""
,"16745298.0","55378","8_16745298.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",4,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,8,32000,false,0,2,51139,"W09IXWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0gyXVtDSDJdYzJbY0hdW2NIXWMoW09IXSljKFtPSF0pYzJbT0hd","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0040,0.0000,0.0040,0.0000,0.000,0,0,0,"OPLS3e",18.075,true,"16745298.0-1","glide-grid_0",8,7,-11.112,-0.617,-1.618,-2.856,-11.112,-11.112,-27.597,-17.569,-45.167,8.045,-61.853,-2.351,1,4,0.000,1,"",""
,"49844555.0","55379","11_49844555.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",5,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,11,69000,false,0,2,51139,"W0NIM11bQ0gyXU9jMVtjSF1bY0hdYyhbY0hdYzFPW0NIMl1bQ0gzXSlbQ0gyXVtDSDJdYzJbY0hdW2NIXWMoW09IXSljKFtPSF0pYzJbT0hd","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0035,0.0000,0.0035,0.0000,0.000,0,0,0,"OPLS3e",25.412,true,"49844555.0-1","glide-grid_0",11,10,-10.934,-0.475,-1.352,-2.644,-10.934,-10.934,-28.389,-12.370,-40.759,5.392,-54.006,-1.025,1,1,0.000,3,"",""
,"471.0","55380","33_471.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",6,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,33,43700,true,0,2,51139,"W09IXWMoW2NIXTEpYyhbT0hdKVtjSF1bY0hdYzFbQ0BIXShbQ0BIXShDMj1PKVtPSF0pT2MoYzIzKVtjSF1jKFtPSF0pW2NIXWMzW09IXQ==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0451,0.0000,0.0451,0.0000,0.000,0,0,0,"OPLS3e",22.334,true,"471.0-1","glide-grid_0",33,6,-10.928,-0.497,-1.392,-2.671,-10.928,-10.928,-34.444,-10.571,-45.015,10.752,-62.058,-2.710,1,14,0.000,1,"",""
,"49844403.0","55381","5_49844403.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",7,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,5,71000,false,0,2,51139,"W0NIM11PYzFbY0hdW2NIXWMoW2NIXWMxT1tDSDNdKVtDSDJdW0NIMl1jMltjSF1bY0hdYyhbT0hdKWMoW09IXSljMltPSF0=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0035,0.0000,0.0035,0.0000,0.000,0,0,0,"OPLS3e",27.395,true,"49844403.0-1","glide-grid_0",5,8,-10.920,-0.520,-1.435,-2.700,-10.920,-10.920,-28.250,-11.991,-40.241,4.055,-49.527,-3.155,1,32,0.000,1,"",""
,"16745298.0","55382","8_16745298.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",8,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,8,32000,false,0,2,51139,"W09IXWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0gyXVtDSDJdYzJbY0hdW2NIXWMoW09IXSljKFtPSF0pYzJbT0hd","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0040,0.0000,0.0040,0.0000,0.000,0,0,0,"OPLS3e",18.075,true,"16745298.0-1","glide-grid_0",8,7,-10.910,-0.606,-1.588,-2.804,-10.910,-10.910,-27.834,-17.407,-45.242,9.439,-62.256,-2.351,1,24,0.000,2,"",""
,"49844401.0","55383","21_49844401.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",9,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,21,50000,false,0,2,51139,"W09IXWMxW2NIXVtjSF1jKGMoW09IXSljMVtPSF0pW0NIMl1bQ0gyXWMyW2NIXVtjSF1bY0hdYyhDbClbY0hdMg==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0035,0.0000,0.0035,0.0000,0.000,0,0,0,"OPLS3e",20.133,true,"49844401.0-1","glide-grid_0",21,6,-10.879,-0.604,-1.584,-2.796,-10.879,-10.879,-28.760,-10.077,-38.837,5.929,-47.542,-1.524,1,4,0.000,1,"",""
,"471.0","55384","33_471.0.1","2025-11-14 19:31:58","2025-11-14 19:31:58","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6ZJA","0_XP.maegz",10,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,33,43700,true,0,2,51139,"W09IXWMoW2NIXTEpYyhbT0hdKVtjSF1bY0hdYzFbQ0BIXShbQ0BIXShDMj1PKVtPSF0pT2MoYzIzKVtjSF1jKFtPSF0pW2NIXWMzW09IXQ==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0451,0.0000,0.0451,0.0000,0.000,0,0,0,"OPLS3e",22.334,true,"471.0-1","glide-grid_0",33,6,-10.873,-0.494,-1.385,-2.658,-10.873,-10.873,-34.421,-10.314,-44.735,10.437,-61.494,-2.710,1,13,0.000,2,"",""
