"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB format version","Source Path","Source File","Source File Index","entry id backup","ran protassign","prepared","prepared with version","Potential Energy-OPLS3e","RMS Derivative-OPLS3e","Max Derivative-OPLS3e","Stretch Energy-OPLS3e","Bend Energy-OPLS3e","LJ-14 Energy-OPLS3e","El-14 Energy-OPLS3e","Van der Waals Energy-OPLS3e","Electrostatic Energy-OPLS3e","Dihedral Energy-OPLS3e","target temperature","ran impref","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","Line_Number","IC50","chiral flag","version","ct enhanced stereo status","mmshare version","input","cmdline","tautomer probability","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","flags","Force Field","Energy","Chiralities Consistent","Variant","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","XP GScore","glide gscore","glide evdw","glide ecoul","glide energy","glide einternal","glide emodel","XP HBond","glide confnum","glide posenum","glide eff state penalty","XP PoseRank","Chemistry Notes","EZ 1","glide lipo","glide hbond","glide metal","glide rewards","glide erotb","glide esite"
,"751 - minimized","216452","751.1","2025-11-14 21:08:54","2025-11-14 21:08:54","3.0","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",1,"61",true,true,"2020-3",-22285.251,0.064,2.138,14.294,864.420,957.273,-718.594,-2156.428,-21257.275,11.059,298.000,true,88139,23.397,-8.165,-12.533,25.000,25.000,25.000,10.000,10.000,10.000,"glide",true,,,,,,,"","",,,,,,,,,,"",,,"","",,,,,,,,,,,,,,,,,,,"","",,,,,,
,"172440200.0","216453","333_172440200.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",2,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,333,42550,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdYyhbT0hdKWMoW09IXSlbY0hdYzFCcg==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0763,0.0004,0.0758,0.0583,0.059,-2,2,0,"OPLS3e",11.258,true,"172440200.0-1","glide-grid_751",306,7,-9.073,-0.504,-1.321,-2.332,,-9.132,-25.887,-15.287,-41.175,14.082,-87.397,,7,223,0.058,,"","",-1.965,0.000,-2.875,-1.097,0.494,-0.100
,"172440200.0","216454","333_172440200.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",3,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,333,42550,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdYyhbT0hdKWMoW09IXSlbY0hdYzFCcg==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0763,0.0004,0.0758,0.0583,0.059,-2,2,0,"OPLS3e",11.258,true,"172440200.0-1","glide-grid_751",306,7,-8.829,-0.490,-1.285,-2.269,,-8.887,-25.402,-15.430,-40.832,14.623,-85.358,,7,95,0.058,,"","",-1.724,0.000,-2.875,-1.097,0.494,-0.100
,"168476030.0","216455","329_168476030.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",4,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_751",302,7,-8.815,-0.519,-1.333,-2.300,,-8.873,-18.697,-21.024,-39.721,8.419,-100.042,,12,271,0.058,,"","",-0.925,0.000,-2.809,-1.635,0.785,-0.200
,"49844555.0","216456","11_49844555.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",5,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,11,69000,false,0,2,51139,"W0NIM11bQ0gyXU9jMVtjSF1bY0hdYyhbY0hdYzFPW0NIMl1bQ0gzXSlbQ0gyXVtDSDJdYzJbY0hdW2NIXWMoW09IXSljKFtPSF0pYzJbT0hd","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0035,0.0000,0.0035,0.0000,0.000,0,0,0,"OPLS3e",25.412,true,"49844555.0-1","glide-grid_751",11,10,-8.791,-0.382,-1.087,-2.126,,-8.791,-35.858,-24.605,-60.464,17.360,-96.934,,57,373,0.000,,"","",-2.988,0.000,0.000,-1.238,0.920,0.000
,"172440200.0","216457","333_172440200.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",6,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,333,42550,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdYyhbT0hdKWMoW09IXSlbY0hdYzFCcg==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0763,0.0004,0.0758,0.0583,0.059,-2,2,0,"OPLS3e",11.258,true,"172440200.0-1","glide-grid_751",306,7,-8.712,-0.484,-1.268,-2.239,,-8.770,-25.730,-14.512,-40.242,11.811,-85.493,,7,203,0.058,,"","",-1.728,0.000,-2.875,-1.097,0.494,-0.100
,"168476030.0","216458","329_168476030.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",7,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_751",302,7,-8.538,-0.502,-1.291,-2.227,,-8.596,-18.754,-19.560,-38.314,10.525,-95.566,,12,272,0.058,,"","",-0.911,0.000,-2.762,-1.635,0.785,-0.200
,"168476030.0","216459","329_168476030.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",8,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_751",302,7,-8.495,-0.500,-1.285,-2.216,,-8.553,-15.453,-23.333,-38.786,12.301,-94.836,,15,58,0.058,,"","",-0.455,0.000,-2.875,-1.635,0.785,-0.100
,"44543377.0","216460","331_44543377.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",9,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_751",304,6,-8.282,-0.592,-1.426,-2.276,,-8.371,-8.141,-26.040,-34.181,2.800,-81.167,,1,124,0.089,,"","",-0.222,0.000,-2.875,-1.929,1.067,-0.100
,"172470549.0","216461","335_172470549.0.1","2025-11-14 21:08:54","2025-11-14 21:08:54","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6ZJA","751_SP.maegz",10,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,335,54700,true,0,2,51139,"W0NIM11PQyg9TylbQ0BASF0oW0NIMl1QKD1PKShbT0hdKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.2916,0.0000,0.2916,0.2800,0.280,-1,1,0,"OPLS3e",6.614,true,"172470549.0-1","glide-grid_751",308,8,-8.280,-0.460,-1.206,-2.128,,-8.560,-15.209,-25.913,-41.122,3.667,-93.307,,39,25,0.280,,"This compound has an ester and may undergo hydrolysis at high or low pH.","",-0.350,0.000,-2.875,-1.533,0.949,-0.104
